id,projectId,question,answer,sortOrder
1c21ba3a-3ada-4759-8fd9-46b9851a41ba,986e025d-5bf1-4c5d-90b9-2c5bda59d34a,What is the starting price for SPJ Vedatam shops?,SPJ Vedatam offers premium projects with prices starting at ₹75 Lakhs onwards.,2
1c46051e-9cbe-4c23-aa23-0a9d401d17d8,5ff0bc90-310e-4041-b86c-812b13c5bdad,What are the project highlights and amenities?,"Amenities include a 1.25 lakh sq.ft. luxury clubhouse, Olympic-size swimming pool, floating sauna, professional gym, concierge services, private elevators, VRV/VRF AC, panoramic balconies, extensive green spaces, smart home tech, and more.",3
1ca7f8ad-f962-4d8b-8248-4d7b2760528a,c4348b89-26f3-4e74-9253-4a68bd32df22,What is the RERA number and expected possession?,RERA ID is 375 OF 2017 and possession is targeted for December 2025.,2
1d137141-9d47-4222-8222-01d19a91aadc,728db93d-8501-488a-a01b-8917095530a1,When is the expected possession date?,Expected possession is in May 2032.,2
1d3e5a5c-f5f4-445c-98a7-8ce0828054f5,bccdee7e-3f5d-4e88-a0c9-070942334caa,Where is Silverglades The Legacy located?,"Silverglades The Legacy is located in Sector 63A, Golf Course Extension Road, Gurgaon.",2
1efe0c4a-42b7-4b91-8fb2-c2f031381719,4c17e492-2ed5-478e-82e3-2756706a85f9,What is the possession date?,The expected possession date is August 2026.,4
1f125519-42cc-494f-97c5-a7349124ec75,d6239c57-d7ed-4da1-84cc-3330b1ea324c,What spaces are available at M3M CapitalWalk?,"The development offers retail shops, food court outlets, double-height showrooms, and entertainment zones.",2
1f532d4a-a84c-473d-ba0c-3b25a93cc292,d0e6ac5d-365e-4efb-87da-97f37581be3a,What is the starting price for homes at DLF Privana North?,The starting price is approximately ₹6 Crore for a 4 BHK apartment.,5
1f761d39-badc-4907-ae54-f77fdd148fd5,ae24318b-3030-428a-94f6-c9c93e7789f6,What is the RERA number for Adani Lushlands?,The RERA registration number is 64 OF 2024.,3
200b6426-093d-4e7d-9af8-510275db53cb,f9b16292-de07-471d-9d9c-d9f92bd44692,What is the expected possession date?,"Smartworld One DXP is currently under construction, with possession targeted for 2028.",7
2095aa73-baf0-4b12-93f1-1891372307ce,254b6fe9-2325-4bb5-a35d-b214cb88764d,What is the starting price for homes at DLF Privana South?,"4 BHK residences start at ₹7.5 Crore, while penthouses are priced up to ₹12 Crore.",1
2342a6ff-3e48-4fdd-987c-ebcb68b8dca6,d0e6ac5d-365e-4efb-87da-97f37581be3a,What unit sizes are available at DLF Privana North?,The project offers 4 BHK apartments ranging from 3500 to 3900 SQ.FT.,4
242f9b1c-051f-4232-b6d1-904b092e7f68,254b6fe9-2325-4bb5-a35d-b214cb88764d,Where is DLF Privana South located?,"DLF Privana South is located in Sector 77, Gurgaon, with direct access to Central Peripheral Road and proximity to the SPR Metro, IGI Airport, schools, and hospitals.",2
2445f678-f838-446b-9dfe-48df844a23cf,5ff0bc90-310e-4041-b86c-812b13c5bdad,Where is Elan The Emperor located?,"Elan The Emperor is located in Sector 106, Dwarka Expressway, Gurgaon, providing seamless connectivity to IGI Airport, Delhi, and major business districts.",1
249f3098-4ca8-4c18-a556-902b357f7960,3fed7102-bc0c-4fe5-a6b4-b30868757223,Where is M3M Crown located?,"M3M Crown is located at Sector 111, Dwarka Expressway, Gurgaon, Haryana",6
24bc3a6b-d9e8-4920-8931-92c0a41b6531,21f65c22-0ac4-4e2e-92df-029afe926330,How many apartments are there in the project?,There are a total of 424 premium residential units.,4
24f40868-f3bd-48ed-9915-d93b0e857d7d,a44c5240-3c6f-4c6a-96ee-8ac62af3511e,Is there a maintenance charge?,"Yes, maintenance charges are applicable and cover common area upkeep, security, clubhouse, landscaping, and other shared amenities.",4
253a6757-7dd3-4dad-b77c-9756dec52bc8,21f65c22-0ac4-4e2e-92df-029afe926330,What apartment sizes are available?,"Available layouts include 2 BHK (1525 sq.ft.), 3 BHK (2124-2410 sq.ft.), and 4 BHK (3842-4260 sq.ft.), including simplex and duplex options.",3
25abfd5f-9788-4b99-805a-eecc492d8cc0,ae24318b-3030-428a-94f6-c9c93e7789f6,What luxury amenities are provided?,"Amenities include a luxury clubhouse, infinity pool, sports club, fitness gym, zen gardens, kids’ zones, and concierge with 5-tier security.",6
25c581c8-fef0-4036-9d7f-22401ffd957e,165ef67e-ef7b-4dde-9a9b-817a92875500,Who is the developer of Elan Paradise?,"Elan Paradise is developed by Elan Group, a leader in Gurgaon commercial real estate.",2
26a02b87-1146-4f3b-8310-2e11857e57c8,5ff0bc90-310e-4041-b86c-812b13c5bdad,Who is the developer?,"Elan The Emperor is developed by Elan Group, a leading real estate company in Gurugram, known for ultra-luxury commercial and residential projects.",5
26dd21b2-3b2b-443c-aece-d3f72c83f2c8,728db93d-8501-488a-a01b-8917095530a1,What are nearby landmarks and connectivity options?,"Located in Sector 69, Gurgaon near NH-48, SPR, Vatika Chowk, and Airia Mall, with easy access to IGI Airport and Cyber City.",4
291dd2c2-9e65-40cb-bcee-9a41f5451e57,6b1c33af-b1a9-49a4-a9ca-6fa3545214f2,What is the possession date for Experion The Trillion?,Possession is expected by July 2029.,3
29923e6c-43d6-4a1f-994a-58dec238ef57,25c84bea-37cc-4a00-a8eb-a504f8a191f4,What types of commercial spaces are offered at M3M Jewel?,"The project offers premium retail outlets, wellness hubs, entertainment zones, and dining spaces, all designed for a luxury and immersive experience.",4
29c2e4ef-c135-445a-ae2b-7400103fc2cb,3fed7102-bc0c-4fe5-a6b4-b30868757223,What is the possession timeline?,The project is under construction and possession is expected by December 2028,3
2a329729-0848-484b-bdd5-6475da9081a1,ae24318b-3030-428a-94f6-c9c93e7789f6,Who is the developer of Adani Lushlands?,"Adani Lushlands is developed by Adani Realty, a leading luxury developer in India.",1
2aff438b-0446-4d27-bbed-467c1d886ba7,25c84bea-37cc-4a00-a8eb-a504f8a191f4,What amenities and experiences can one expect at M3M Jewel?,"Expect open-air luxury spaces with breathtaking views, a blend of exclusive global brands, exotic dining, entertainment, tranquil indulgence, and robust infrastructure.",7
2b42958e-2de5-4f67-90f9-030c7c93d014,f9b16292-de07-471d-9d9c-d9f92bd44692,What configurations are available at Smartworld One DXP?,"The project offers premium 2.5 BHK and 3.5 BHK high-rise apartments with smart layouts, spacious balconies, and premium finishes.",8
2c4ffc15-9531-491b-bc9b-89058ee24c17,60fb584b-a3b6-4ade-9adb-8eb02508682d,Who is the developer?,"Emaar Serenity Hills is developed by Emaar India, noted for luxury residential and commercial projects.",0
2c715705-ca4a-48e1-965a-b6852769991b,c05bb44a-4d96-4c65-9703-923dd67a4b91,Is it a good investment opportunity?,"Yes, it offers ultra-luxury living, reputable development, and prime location advantages for buyers and investors.",9
2d0fabf9-ed5e-43e7-8172-586a76c6ca40,06e0aa61-ef5c-4892-beec-a5a1df6ec52c,How many apartments are in the project?,The project features approximately 522 luxury apartments.,2
2d898dc7-afab-4316-bde5-dc6c81b6be04,25c84bea-37cc-4a00-a8eb-a504f8a191f4,Where is M3M Jewel located?,"M3M Jewel is located on MG Road, Sector 25, Gurugram, Haryana, placing it at the heart of Gurugram's most vibrant commercial and retail district.",6
2d9204a2-9bd2-404f-8fdb-768a6ff32a95,d2afb735-8465-414a-924f-a7226ea3319a,What is the starting price for homes?,Residences start at ₹3.75 Crore* for 3 BHK apartments.,1
2db4330d-384f-4029-aa43-1ad78a71da7b,60fb584b-a3b6-4ade-9adb-8eb02508682d,What RERA numbers apply?,The project is registered under RERA numbers 96 OF 2025 and 97 OF 2025,0
2ff7ce49-bc5d-4fb1-9848-d9c745f1afff,5ff0bc90-310e-4041-b86c-812b13c5bdad,When is the expected possession date?,The project is under construction with possession expected by September 2032.,4
30b89bc5-8655-4fad-bb6e-cb9f7c38b8ae,6a3994f8-8b87-441d-8d43-732f7162ac90,What is the handover/possession date for M3M Mansion?,Possession is expected by February 2032.,1
311e4ca0-34a3-4fd0-a823-a8ab6cf6bc07,4c17e492-2ed5-478e-82e3-2756706a85f9,What is the launch date of M3M Paragon57?,M3M Paragon57 was launched in January 2023.,6
316f0738-2d37-483b-bb9d-64d1cdbab14a,d9401432-af8d-41fc-8230-594a70cc2a98,What is the launch date of M3M Route 65?,M3M Route 65 was launched in September 2022.,1
33892060-426e-4868-860b-633af647ebeb,60fb584b-a3b6-4ade-9adb-8eb02508682d,What is the expected possession date?,Possession is expected by December 2028,0
33d3429a-006a-4794-9a09-75c7f63bb11d,8b6a09f7-9696-4811-ad43-bad1dea5f324,Where is DLF Privana West located?,"DLF Privana West is located in Sector 76 on Southern Peripheral Road, Gurgaon, with excellent connectivity to NH-8, Dwarka Expressway, and the IGI Airport.",2
354425cd-c6ed-4aea-a383-3abe7cca0d78,0ef5cdef-6f02-4591-a386-553534d6cce0,What is the price range of 4 BHK units?,Approximately ₹5.25 Cr to ₹5.75 Cr depending on configuration and floor.,1
3565fef9-2140-4bad-8b1e-d822e1382ac9,049251cb-0089-4e71-8624-88c23074f082,What is the handover/possession date for Sobha Aranya?,Expected possession for Sobha Aranya is by December 2028.,1
3718a7bf-895f-4172-97bb-752afae3fde8,ead71e2f-5982-4c58-b243-5e9cd88d9fe9,How well-connected is the location?,"The project has seamless connectivity to Dwarka Expressway, IGI Airport (28 minutes away), Cyber City (30 minutes), major schools, hospitals, malls, and business districts.",9
38485d9e-fc97-4a21-ba4a-b41c860046cd,7a117c0f-16eb-4536-a0a6-028271a06f3b,What unit sizes and configurations are available at Hero Homes The Palatial?,Available configurations include 3.5 BHK (2833 SQ.FT) and 4.5 BHK (3457 SQ.FT) luxury residences.,1
396cb1fa-ee55-4c1e-af33-27bb80184299,a0526302-80d5-40e4-ba4f-0e030521e651,How can I buy the property?,"To buy the property, please contact us at 9910007801.",7
39a68f08-d772-4aee-a508-ca766a22cb9b,d2afb735-8465-414a-924f-a7226ea3319a,Who is the developer?,"The project is developed by BPTP Group, one of NCR’s leading real estate firms.",2
39db5036-ade4-4c43-9e70-af7f902d69fd,8e7d9d67-660b-4099-b583-f39f14bf9a26,How many towers and apartments are there?,This estate comprises 5 towers with approximately 1000+ luxury units.,4
3a7037c7-83dd-4221-9b98-4fb1e4b362d2,60fb584b-a3b6-4ade-9adb-8eb02508682d,What types of homes are available?,"Residences are available in 2, 3, and 4 BHK configurations, featuring modern layouts and high-end specifications.",0
3a851530-bc5c-43f4-9d83-049030b28193,a44c5240-3c6f-4c6a-96ee-8ac62af3511e,When is the possession date?,The project is scheduled for possession by December 2027.,1
3b16040b-9418-4089-914e-8331a9c928b1,8853edc1-08b4-4512-b7d8-5e10800896fe,Where is Trevoc Royal Residences located?,"Trevoc Royal Residences is located at Sector 56, Golf Course Road, Gurgaon.",1
3b27776d-b5e6-41c7-b819-f8f6fcf7df98,982ed68a-ba24-4226-b101-01e7f90de70a,What is the RERA number and possession date?,RERA ID is RC/REP/HARERA/GGM/768/500/2023/112. Possession expected around 2027-2028,2
3b849729-c2b7-41a7-a888-7996b3f001a7,f9b16292-de07-471d-9d9c-d9f92bd44692,What payment plans are available for buyers?,"The project offers flexible payment schedules, such as construction-linked plans, subvention plans (during offer periods), and down payment discounts. Major banks offer home loan support.",3
3c29108e-541b-4fbe-8e50-7e475dd31f9d,bfdbaac8-419e-473e-ae73-6edd80f14387,Where is Shapoorji Pallonji The Dualis located?,"The Dualis is located at Sector 46, in the heart of Gurgaon, Haryana.",2
3db4305d-c4ba-444c-8985-552cf9fc5956,3fed7102-bc0c-4fe5-a6b4-b30868757223,Is M3M Crown RERA registered?,"Yes, the project is registered under RERA with ID GGM/687/419/2023/31.",1
3ecd5e7e-e45c-4746-9035-2daf981bbc15,25c84bea-37cc-4a00-a8eb-a504f8a191f4,How is M3M Jewel connected to key destinations in Gurugram and Delhi?,"The location provides quick access to Golf Course Road (500 meters), NH-8 (2 minutes), Cyber City (2 minutes), Aero City (10 minutes), South Delhi (15 minutes), and Mumbai Expressway (20 minutes).",5
40555b65-b6a4-4a97-aead-6b9311234f89,049251cb-0089-4e71-8624-88c23074f082,What unit types and sizes are available at Sobha Aranya?,"Sobha Aranya offers eco-luxe 3 BHK units (starting at 2836 sq.ft.) and 4 BHK units (up to 4285 sq.ft.), all oriented for privacy and modern luxury.",6
40ef0d2c-6f63-4eac-9c06-0082e9205693,d9401432-af8d-41fc-8230-594a70cc2a98,What types of spaces are available at M3M Route 65?,"It offers retail shops, food court spaces, office spaces, and restaurants distributed over four retail levels with anchor shops on every floor.",3
422e785f-8b6c-45b0-bce5-2ca1a142f3d6,e59debce-1f67-4a5f-ab7e-613fe1441982,What is the RERA number and expected possession?,The Haryana RERA number is 13 OF 2025 and possession is targeted for June 2032.,4
42593c38-b0dd-43a4-8af0-e1742e89dbd0,9301a8cc-a2ab-4828-98a8-455229bd4beb,What is the expected possession date?,Possession for Elan Empire is expected by June 2026.,3
42be6f59-f9c2-48a4-9c5b-6c0a906e69b9,12ae60bb-6415-427c-86ad-adcb52eb5a8f,What apartment sizes are available?,4 BHK (3610 sq.ft.) and 4 BHK + Lounge (4800 sq.ft.) lavish layout options.,2
43bf16f3-6931-4f0a-a5b6-dfd3f384a236,37aab4b2-99cd-4d22-9d89-a29e1c2868c4,How many units and towers are there?,There are 240 luxury units spread across two towers.,3
43e99d10-d9ce-4fb0-8707-725f47a62972,ae24318b-3030-428a-94f6-c9c93e7789f6,What is the configuration available?,Adani Lushlands offers 4.5 BHK + Lounge apartments (4750 SQ.FT) and 6 BHK penthouses (6383 SQ.FT).,7
453e9ec7-2173-4e1a-ad86-8bd0bf5acb0b,8e7d9d67-660b-4099-b583-f39f14bf9a26,What are the available floor plan sizes?,3.5 BHK apartments (2780 sq.ft.) and 4.5 BHK apartments (3780 sq.ft.).,2
457a1382-18f4-4430-9421-4b062a8f564c,ead71e2f-5982-4c58-b243-5e9cd88d9fe9,What amenities and features are provided?,"Amenities include a podium-level clubhouse, Olympic-size swimming pool, professional gym, floating sauna, landscaped greens, concierge services, home automation, modular kitchen, VRV/VRF ACs, and 5-tier security.",8
45de295f-4d24-4d57-a9fd-2818d28b7acc,254b6fe9-2325-4bb5-a35d-b214cb88764d,Is there a brochure available for DLF Privana South?,"Yes, official brochures, floor plans, and details are available for download from the DLF website or by inquiry.",4
461bdb4c-d3ef-417e-ba02-f06fca33fbfa,7c97e410-c9ab-43a3-bd32-65a83a08fd8b,Where is DLF Club Arcade located?,"DLF Club Arcade is located in Sector 91, within the DLF Gardencity township in Gurugram",0
4639365d-b8c1-4b91-b2d8-abe8e1b0ee51,728db93d-8501-488a-a01b-8917095530a1,Are the apartments Vastu-compliant?,"Yes, all apartments are designed as per Vastu to promote positivity and well-being.",1
46cd763b-4216-46c5-8bff-da0abea12adb,165ef67e-ef7b-4dde-9a9b-817a92875500,What spaces are available at Elan Paradise?,"The project offers luxury retail shops, food courts, entertainment zones, and multiplex facilities.",5
474c5e30-88d5-4c55-a24b-1b415d8afe4c,d2afb735-8465-414a-924f-a7226ea3319a,How can I book a unit?,"Booking is available through BPTP’s sales team, authorized brokers in Gurugram, and via the official project website.",6
486953de-bb5c-475d-9c39-6ad4db11082b,0d428cdd-2dcd-46ea-85ec-98471e318483,What types of homes are available?,"The project offers 3 BHK, 3.5 BHK, and 4 BHK luxury apartments.",0
48c6ff06-8c44-4ba1-a119-7fcd21737c82,c4348b89-26f3-4e74-9253-4a68bd32df22,What is the land area and how many towers are there?,"M3M Trump Towers is planned on about 2.83 acres, featuring iconic twin towers rising 600+ feet.",4
4a55d0cd-ffb1-468a-9d67-b1fd7d77ce18,bd535d19-6a06-45cc-a692-3d56849d8e89,Who is the developer?,Whiteland Westin Residences is developed by Whiteland Corporation in collaboration with Marriott International (Westin).,4
4a796506-44ce-4580-999f-65c92712d86d,0ef5cdef-6f02-4591-a386-553534d6cce0,When will possession begin?,Possession starts around June 2027.,4
4c7279db-f021-415e-af54-6b05052a0239,25c84bea-37cc-4a00-a8eb-a504f8a191f4,Which brands and retailers are present at M3M Jewel?,"The project has onboarded a curated selection of leading global and Indian brands, offering luxury retail, shopping experiences, and fine dining (refer to the official website or sales team for up-to-date brand lists).",3
4c80f789-ca25-44e7-b59e-b68e6064dce8,c4348b89-26f3-4e74-9253-4a68bd32df22,What are the available apartment sizes?,"Residences offered are 3 BHK (3150, 3525 sq.ft.) and 4 BHK (4550, 6050 sq.ft.) luxury apartments.",1
4ce77da5-1f64-4fc5-8109-32e0908a809c,2a2c45d5-0f68-459c-a286-0509b7bb6073,What is the RERA number?,The Haryana RERA registration is 48 OF 2023.,1
4dc07c9d-83d4-4d14-93c1-c1a05c807994,25c84bea-37cc-4a00-a8eb-a504f8a191f4,What are the unique architectural features of M3M Jewel?,"M3M Jewel boasts a futuristic design with an iconic 85-meter-wide frontage, six levels of experiential luxury, and multi-tiered access points for seamless movement.",2
4e9b658d-6186-4b19-8054-ab5aa1609c68,ead71e2f-5982-4c58-b243-5e9cd88d9fe9,Who is the developer of Elan The Presidential?,"Elan Group, a reputed luxury real estate developer.",4
4eb986e7-aa37-4f6d-989a-8c893f2f0eeb,ae24318b-3030-428a-94f6-c9c93e7789f6,What is the starting price for homes at Adani Lushlands?,"The starting price is ₹12.87 Crore for a 4.5 BHK, and ₹15.5 Crore for penthouses.",4
4ef7da40-0040-40df-88cb-b356a3422cc2,254b6fe9-2325-4bb5-a35d-b214cb88764d,What unit sizes and configurations are available at DLF Privana South?,"Units include 4 BHK with staff room (3577 SQ.FT) and 5 BHK penthouses (5472 SQ.FT), all with luxurious layouts.",3
4ffecb84-6d56-49bc-a858-e392ab8d67c6,ef4d244d-fb32-42d7-a4be-0f515c4ed2c8,Where is Paras Manor located?,"Paras Manor is located in Sector 2, Gwal Pahari, Gurgaon on the Gurgaon-Faridabad Highway, near Golf Course Road.",1
51a43dad-a0ad-48b5-a934-5a773fc2dd2e,254b6fe9-2325-4bb5-a35d-b214cb88764d,Who is the developer of DLF Privana South?,"DLF Privana South is developed by DLF Ltd., one of India's most reputed luxury real estate developers.",6
5241e30e-c7d0-47cd-b547-085f4303849d,7a117c0f-16eb-4536-a0a6-028271a06f3b,How can a unit be booked in Hero Homes The Palatial?,Units can be booked by contacting project representatives or the official Hero Homes website and filling in the inquiry or booking forms.,2
53774bc6-14d4-4464-849e-529346a37120,4c17e492-2ed5-478e-82e3-2756706a85f9,What amenities are available?,"CCTV security, parking, reception, entertainment, multi-level parking, elevators, and modern F&B spaces.",3
557d5076-320f-4139-b906-34b153d4c8cb,5ff0bc90-310e-4041-b86c-812b13c5bdad,What is the starting price for homes?,"Apartments start from approximately ₹10.45 Crore, with penthouses available at even higher price points, depending on the configuration.",6
5d0976ee-35d9-434f-a761-4e3543edaf2a,6b799d00-5a0b-4a72-be56-4bd7c78352b0,What is the price range of Tarc Ishva Gurgaon apartments?,The price range is ₹7 Cr* to ₹9.13 Cr*.,5
5dcf019f-233e-4970-9b93-eef5ec76cce2,f9b16292-de07-471d-9d9c-d9f92bd44692,Is Smartworld One DXP a good investment?,"Yes, due to its prime location, high-end amenities, ongoing infrastructure development nearby, and the reputation of the developer, Smartworld One DXP holds strong investment potential.",6
5f3477fc-9398-4441-8e75-237f3579b584,a0526302-80d5-40e4-ba4f-0e030521e651,What amenities are available?,"Amenities include car parking, power backup, security, children's play area, food courts, pharmacy, gym, and amphitheatre.",4
5fa8c660-a060-47d1-9145-92326d5104a4,37475cb7-21c0-4c64-ba62-5174ca162a47,What amenities and highlights are included?,"Premium clubhouse, pools, wellness zones, sports courts, lush landscaping, multi-tier security.",2
60be05c7-7106-4ff9-92e9-4f0d995b604f,0ef5cdef-6f02-4591-a386-553534d6cce0,What is the total project area and number of units?,The project spans about 7 acres and offers around 260 units.,6
64faa878-e3d2-4eda-9b87-f32d1e3cf3bd,c05bb44a-4d96-4c65-9703-923dd67a4b91,Where is 4S The Aurrum located?,"Sector 59, Golf Course Extension Road, Gurgaon, Haryana.",6
650954bc-b6c2-4b58-931b-2bb5b339844b,7c97e410-c9ab-43a3-bd32-65a83a08fd8b,What is the property type?,It is a commercial high-street retail project with shops and F&B spaces,0
663116ca-7d6d-4de4-b314-d72adf64036d,0d428cdd-2dcd-46ea-85ec-98471e318483,Who is the developer?,"Developed by Birla Estates, a subsidiary of Aditya Birla Group.",0
67fe35c0-7a8c-4c2c-b91b-c0d1f33eab78,5ff0bc90-310e-4041-b86c-812b13c5bdad,How can I book a unit?,"Homes can be booked via Elan’s sales team, authorized brokers in Gurgaon, or through the official website for exclusive offers and pre-launch benefits.",7
6917b071-a3ff-479a-b106-3c413c1ad2a3,12ae60bb-6415-427c-86ad-adcb52eb5a8f,"How many acres, towers and units are planned?",Spread across 5.5 acres with 4 towers and 248 ultra-luxury apartments.,4
